Id,TTCplacement,macaddress,deviceName,CoD,CoDdescription,timestamp,service_Information,service_Telephony,service_ObjectTransfer,service_Capturing,service_Rendering,service_Networking,service_Positioning
1,13YE010,10:9A:DD:C7:25:BB,Ap1â€™s Mac mini,0x3a0104,Computer (Desktop workstation),1/26/16 16:03,0,0,1,1,1,0,1
2,13YE010,28:C6:71:05:3D:48,YotaPhone,0x5a020c,Phone (Smartphone),1/26/16 16:03,0,1,0,1,1,0,1
3,13YE010,F8:F1:B6:08:7C:C6,XT1058,0x5a020c,Phone (Smartphone),1/26/16 16:03,0,1,0,1,1,0,1
4,13YE010,24:4B:03:30:E7:51,[TV] UN50JU6500,0x08043c,Audio/Video (Video Display and Loudspeaker),1/26/16 16:03,0,0,0,0,1,0,0
5,13YE010,BC:F5:AC:6D:13:DC,NEXUS 5 Black,0x5a020c,Phone (Smartphone),1/26/16 16:03,0,1,0,1,1,0,1
6,13YE010,00:19:E3:ED:D8:E5,Jason Coullsâ€™s iMac,0x3a0104,Computer (Desktop workstation),1/26/16 16:03,0,0,1,1,1,0,1
7,13YE010,28:C6:71:05:3D:48,YotaPhone,0x5a020c,Phone (Smartphone),1/26/16 16:03,0,1,0,1,1,0,1
8,13YE010,F8:F1:B6:08:7C:C6,XT1058,0x5a020c,Phone (Smartphone),1/26/16 16:03,0,1,0,1,1,0,1
9,13YE010,24:4B:03:30:E7:51,[TV] UN50JU6500,0x08043c,Audio/Video (Video Display and Loudspeaker),1/26/16 16:03,0,0,0,0,1,0,0
10,13YE010,BC:F5:AC:6D:13:DC,NEXUS 5 Black,0x5a020c,Phone (Smartphone),1/26/16 16:03,0,1,0,1,1,0,1
11,13YE010,28:C6:71:05:3D:48,YotaPhone,0x5a020c,Phone (Smartphone),1/26/16 16:03,0,1,0,1,1,0,1
12,13YE010,F8:F1:B6:08:7C:C6,XT1058,0x5a020c,Phone (Smartphone),1/26/16 16:03,0,1,0,1,1,0,1
13,13YE010,24:4B:03:30:E7:51,[TV] UN50JU6500,0x08043c,Audio/Video (Video Display and Loudspeaker),1/26/16 16:03,0,0,0,0,1,0,0
14,13YE010,BC:F5:AC:6D:13:DC,NEXUS 5 Black,0x5a020c,Phone (Smartphone),1/26/16 16:03,0,1,0,1,1,0,1
