Start Time (PST),End Time (PST),Zone Name,Media Type,File Name
2017-08-21T00:00:00,2017-08-21T00:00:58,Video or Images,html5,Three Towers fat sals
2017-08-21T00:00:58,2017-08-21T00:01:07,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
2017-08-21T00:01:07,2017-08-21T00:01:23,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
2017-08-21T00:01:23,2017-08-21T00:01:31,Video or Images,video,FS_Stills_National_Hat01.mp4
2017-08-21T00:01:31,2017-08-21T00:01:42,Video or Images,video,FS_Stills_National_CTA_Cater.mov
2017-08-21T00:01:42,2017-08-21T00:02:22,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
2017-08-21T00:02:22,2017-08-21T00:03:07,Video or Images,html5,Three Towers fat sals
2017-08-21T00:03:07,2017-08-21T00:03:16,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
2017-08-21T00:03:16,2017-08-21T00:03:32,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
2017-08-21T00:03:32,2017-08-21T00:03:41,Video or Images,video,FS_Stills_National_Hat01.mp4
2017-08-21T00:03:41,2017-08-21T00:03:51,Video or Images,video,FS_Stills_National_CTA_Cater.mov
2017-08-21T00:03:51,2017-08-21T00:04:31,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
2017-08-21T00:04:31,2017-08-21T00:05:17,Video or Images,html5,Three Towers fat sals
2017-08-21T00:05:17,2017-08-21T00:05:25,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
2017-08-21T00:05:25,2017-08-21T00:05:42,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
2017-08-21T00:05:42,2017-08-21T00:05:50,Video or Images,video,FS_Stills_National_Hat01.mp4
2017-08-21T00:05:50,2017-08-21T00:06:00,Video or Images,video,FS_Stills_National_CTA_Cater.mov
2017-08-21T00:06:00,2017-08-21T00:06:41,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
2017-08-21T00:06:41,2017-08-21T00:07:26,Video or Images,html5,Three Towers fat sals
2017-08-21T00:07:26,2017-08-21T00:07:35,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
